recoverability_pair,condition_stage,target_stage,pre_stage,post_stage,complexity_direction,direction_note,subject_id,group_id,channel,start_idx,window_size,pe_pre,pe_post,delta_pe,sampen_pre,sampen_post,delta_sampen
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_RECTUS_FEM,0,1024,0.8340598935656376,0.7967798831662218,0.03728001039941575,0.5844466295289401,0.6747164078106407,-0.09026977828170057
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_RECTUS_FEM,0,1024,0.8335699904002397,0.7926891306994819,0.04088085970075783,0.5669958952330453,0.5830578562877708,-0.01606196105472557
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_ADDUCTORS,0,1024,0.6891648441545314,0.6774241198383789,0.011740724316152473,0.6378527001580595,0.6444853778565774,-0.006632677698517941
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_ADDUCTORS,0,1024,0.6946150122192012,0.6754475181272486,0.01916749409195262,0.7010837301556816,0.7097596944937294,-0.008675964338047848
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_VMO,0,1024,0.8070584572886643,0.7776313278110856,0.02942712947757875,0.1845055670296384,0.20445826689004962,-0.019952699860411205
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_VMO,0,1024,0.8057544779394643,0.7289876858073973,0.07676679213206705,0.20568747716676244,0.3108931740809205,-0.10520569691415804
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_TIBANT,0,1024,0.8103332570403025,0.7915414845726324,0.018791772467670054,0.4203762433780734,0.5893213128246082,-0.1689450694465348
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_TIBANT,0,1024,0.8303153458470998,0.8096150037816332,0.02070034206546656,0.5226144703386167,0.7062784536889664,-0.1836639833503496
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_GLUT_MED,0,1024,0.7693923201543884,0.7390916503075237,0.030300669846864747,0.825906670405886,1.0474961892841237,-0.22158951887823775
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_GLUT_MED,0,1024,0.7782807695657711,0.7584351699874686,0.019845599578302453,0.8761378574859241,0.9104321574383815,-0.03429429995245736
